,Nombre,Score,Excelente,MuyBueno,Normal,Malo,Pesimo,Num_Reviews,Tipo_Cocina,Awards,Direccion,Web_TripAdvisor,Num_Reviews_Spain,Europa,América del Norte,América del Sur,Asia,Oriente Medio y África,Otros,€,€€ - €€€,€€€€,Total,cluster,cluster_kmeans
4505,O'Rey,5.0,0.75,0.25,0.0,0.0,0.0,5,,0,"['Calle del Marques de Viana 6', ' 28039 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d7129162-Reviews-O_Rey-Madrid.html,4,0,0,0,0,0,0,True,False,False,1.0,0,0
4506,Espada Da'Tomaso,3.0,0.4482758620689655,0.02586206896551724,0.05172413793103448,0.07758620689655173,0.39655172413793105,123,"'Mediterránea', 'Española'",0,"['Calle de Ibiza', ' 26', ' 28009 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d1790728-Reviews-Espada_Da_Tomaso-Madrid.html,116,1,0,0,0,0,0,True,False,False,1.0,0,0
4507,Cervecería Deportiva Sports Bar,4.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,5,,0,"['Calle Veneras 7', ' 28013 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d19463307-Reviews-Cerveceria_Deportiva_Sports_Bar-Madrid.html,3,0,0,0,0,0,0,False,True,False,1.0,1,1
4508,El Fogón De Isabel,5.0,1.0,0.0,0.0,0.0,0.0,2,,0,"['Calle de Puerto Rico', ' 13', ' 28016 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d17414576-Reviews-El_Fogon_De_Isabel-Madrid.html,2,0,0,0,0,0,0,False,True,False,1.0,1,1
4509,Cervecería Alonso,4.0,0.4090909090909091,0.3333333333333333,0.12121212121212122,0.06060606060606061,0.07575757575757576,66,'Española',0,"['Calle de Gabriel Lobo', ' 18 BAJO', ' 28002 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d9803534-Reviews-Bar_Alonso-Madrid.html,66,1,0,0,0,0,0,False,True,False,1.0,1,2
4510,Bosco,4.0,0.0,1.0,0.0,0.0,0.0,1,"'Barbacoa', 'Española', 'Asador'",0,"['Fernández De La Hoz', ' 78', ' 28003 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d25331739-Reviews-Bosco-Madrid.html,1,1,0,0,0,0,0,False,False,True,1.0,2,2
4511,Raimunda,3.5,0.36721991701244816,0.3008298755186722,0.14522821576763487,0.06431535269709543,0.12240663900414937,548,"'Fusión', 'Opciones vegetarianas', 'Opciones sin gluten'",0,"['Paseo Recoletos 2 Palacio de Linares', ' 28001 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d15078259-Reviews-Raimunda-Madrid.html,482,0,0,0,0,0,1,False,True,False,1.0,1,1
4512,Loading Gaming Bar,5.0,1.0,0.0,0.0,0.0,0.0,1,"'Americana', 'Asiática'",0,"['Calle de Adolfo Bioy Casares 3', ' 28051 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d15812010-Reviews-Loading_Gaming_Bar-Madrid.html,1,0,1,0,0,0,0,True,False,False,1.0,0,0
4513,The Spanish Farm,4.5,0.6739130434782609,0.20652173913043478,0.08695652173913043,0.005434782608695652,0.02717391304347826,508,"'Mediterránea', 'Europea', 'Española'",1,"['Calle Espalter 5 Close to Museo del Prado and Jardin Botanico', ' 28014 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d10077266-Reviews-The_Spanish_Farm-Madrid.html,184,1,0,0,0,0,0,False,True,False,1.0,1,2
4514,DeAtún Ponzano,4.0,0.4674698795180723,0.36626506024096384,0.09397590361445783,0.03855421686746988,0.033734939759036145,431,"'Mediterránea', 'Española', 'Opciones sin gluten'",0,"['Calle Ponzano 59', ' 28003 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d8875494-Reviews-DeAtun_Ponzano-Madrid.html,415,1,0,0,0,0,1,False,True,False,1.0,1,2
4515,Restaurante Chow Fan,2.5,0.25,0.0,0.0,0.25,0.5,4,,0,"['Calle Luisa Muñoz', ' 4', ' 28019 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d5971902-Reviews-Chow_Fan-Madrid.html,4,0,0,0,0,0,0,False,True,False,1.0,1,1
4516,El Secreto de López,4.5,0.525,0.3,0.15,0.0125,0.0125,81,"'Mexicana', 'Mediterránea', 'Comedor'",0,"['Glorieta López de Hoyos', ' 3', ' 28002 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d10302140-Reviews-El_Secreto_De_Lopez-Madrid.html,80,0,1,0,0,0,0,False,True,False,0.9999999999999999,1,1
4517,Cerveceria Oldenburg Huertas,5.0,1.0,0.0,0.0,0.0,0.0,20,"'Americana', 'Alemana', 'Pub con cerveza artesanal'",0,"['Calle de las Huertas 59', ' 28014 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d16745534-Reviews-Cerveceria_Oldenburg_Huertas-Madrid.html,19,1,1,0,0,0,0,False,True,False,1.0,1,2
4518,Gastro Hub,3.0,0.03571428571428571,0.2857142857142857,0.25,0.14285714285714285,0.2857142857142857,41,"'Mediterránea', 'Española'",0,['Madrid España'],https://www.tripadvisor.es/Restaurant_Review-g187514-d12379016-Reviews-Gastro_Hub-Madrid.html,28,1,0,0,0,0,0,False,True,False,0.9999999999999999,1,2
4519,Cachapeishon,3.0,0.25,0.25,0.0,0.25,0.25,4,'Sudamericana',0,"['Calle de la Princesa de Eboli 9', ' 28050 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d21491545-Reviews-Cachapeishon-Madrid.html,4,0,0,0,0,0,0,False,True,False,1.0,1,1
4520,Taberna La Ardosa,4.5,0.5882352941176471,0.3235294117647059,0.058823529411764705,0.029411764705882353,0.0,35,"'Mediterránea', 'Española', 'Opciones vegetarianas'",0,"['Calle Abolengo 9', ' 28025 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d9558605-Reviews-Taberna_La_Ardosa-Madrid.html,34,1,0,0,0,0,0,False,True,False,1.0,1,2
4521,City Kebab,4.0,0.4838709677419355,0.41935483870967744,0.03225806451612903,0.0,0.06451612903225806,42,"'Turca', 'De Oriente Medio', 'Opciones vegetarianas'",0,"['Calle Cruz 10', ' 28012 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d8650261-Reviews-City_Kebab-Madrid.html,31,0,0,0,1,1,0,True,False,False,1.0,0,0
4522,Rice,4.5,0.7,0.1,0.1,0.0,0.1,12,"'China', 'Asiática'",0,"['Calle Hortaleza 47', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d13451188-Reviews-Rice-Madrid.html,10,0,0,0,1,0,0,True,False,False,0.9999999999999999,0,0
4523,Taberna Bodegas Ricla,4.5,0.5421052631578948,0.3,0.07368421052631578,0.021052631578947368,0.06315789473684211,233,"'Española', 'Vinoteca'",0,"['Calle Cuchilleros 6 28005', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d2706320-Reviews-Taberna_Bodegas_Ricla-Madrid.html,190,1,0,0,0,0,0,False,True,False,0.9999999999999999,1,2
4524,Restaurante Jose Luis,3.5,0.23036649214659685,0.4083769633507853,0.17277486910994763,0.07853403141361257,0.1099476439790576,217,"'Mediterránea', 'Europea', 'Española'",0,"['Calle de Rafael Salgado 11', ' 28036 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d717247-Reviews-Restaurante_Jose_Luis-Madrid.html,191,1,0,0,0,0,0,False,True,False,1.0,1,2
